Date,SP500,DJIA,NASDAQ,NIKKEI,HSI,SH,TWII,yield_spread
2014-09-08,,,4592.29,15705.11,25190.44921875,,,1.94
2014-09-09,,,4552.29,15749.15,,2326.527099609375,9434.76953125,1.94
2014-09-10,,,4586.52,15788.78,24705.359375,2318.304931640625,9357.6103515625,1.96
2014-09-11,,,4591.81,15909.2,24662.640625,2311.678955078125,9322.9501953125,1.96
2014-09-12,,,4567.6,15948.29,24595.3203125,2331.949951171875,9223.1796875,2.04
2014-09-15,,,4518.9,,24356.990234375,2339.139892578125,9217.4599609375,2.02
2014-09-16,,,4552.76,15911.53,24136.009765625,2296.554931640625,9133.400390625,2.05
2014-09-17,,,4562.19,15888.67,24376.41015625,2307.89306640625,9195.169921875,2.0300000000000002
2014-09-18,,,4593.43,16067.57,24168.720703125,2315.927978515625,9237.0302734375,2.04
2014-09-19,,,4579.79,16321.17,24306.16015625,2329.450927734375,9240.4501953125,2.0
2014-09-22,,,4527.69,16205.9,23955.490234375,2289.865966796875,9134.650390625,1.9899999999999998
2014-09-23,,,4508.69,,23837.0703125,2309.718017578125,9084.900390625,1.9700000000000002
2014-09-24,,,4555.22,16167.45,23921.609375,2343.574951171875,9098.490234375,1.98
2014-09-25,,,4466.75,16374.14,23768.130859375,2345.10302734375,9011.58984375,1.96
2014-09-26,,,4512.19,16229.86,23678.41015625,2347.718017578125,8989.8203125,1.9500000000000002
2014-09-29,1977.8,17071.22,4505.85,16310.64,23229.2109375,2357.7109375,8960.759765625,1.92
2014-09-30,1972.29,17042.9,4493.39,16173.52,22932.98046875,2363.8701171875,8966.919921875,1.94
2014-10-01,1946.16,16804.71,4422.09,16082.25,,,8990.259765625,1.89
2014-10-02,1946.17,16801.05,4430.2,15661.99,,,8975.1904296875,1.91
2014-10-03,1967.9,17009.69,4475.62,15708.65,23064.560546875,,9106.2802734375,1.8800000000000003
2014-10-06,1964.82,16991.91,4454.8,15890.95,23315.0390625,,9095.1396484375,1.8900000000000001
