Club,Game Played,W,D,L,+/-,Year,Pts,Pts Diff,Goal For,GF Diff,Goal Against,GA Diff,Expenditure,Arrivals,Income,Departures,Balance
Arsenal,38,28,5,5,62,2023,89,5.0,91,3.0,29,-14.0,€234.94m,18.0,€69.20m,19.0,-165740000.0
Arsenal,38,26,6,6,45,2022,84,15.0,88,27.0,43,-5.0,€421.34m,40.0,€93.00m,34.0,-328340000.0
Arsenal,38,22,3,13,13,2021,69,8.0,61,6.0,48,9.0,€353.80m,38.0,€55.20m,38.0,-298600000.0
Arsenal,38,18,7,13,16,2020,61,5.0,55,-1.0,39,-9.0,€253.40m,29.0,€50.55m,36.0,-202850000.0
Arsenal,38,14,14,10,8,2019,56,-14.0,56,-17.0,48,-3.0,€246.80m,32.0,€72.80m,35.0,-174000000.0
Arsenal,38,21,7,10,22,2018,70,7.0,73,-1.0,51,-0.0,€240.95m,33.0,€62.75m,31.0,-178200000.0
Arsenal,38,19,6,13,23,2017,63,-12.0,74,-3.0,51,7.0,€233.00m,27.0,€171.50m,28.0,-61500000.0
Arsenal,38,23,6,9,33,2016,75,4.0,77,12.0,44,8.0,€265.85m,21.0,€172.75m,28.0,-93100000.0
Arsenal,38,20,11,7,29,2015,71,-4.0,65,-6.0,36,-0.0,€139.50m,26.0,€12.85m,24.0,-126650000.0
Arsenal,38,22,9,7,35,2014,75,-4.0,71,3.0,36,-5.0,€145.48m,33.0,€30.30m,34.0,-115180000.0
Arsenal,38,24,7,7,27,2013,79,6.0,68,-4.0,41,4.0,€168.23m,39.0,€39.95m,44.0,-128280000.0
Arsenal,38,21,10,7,35,2012,73,3.0,72,-2.0,37,-12.0,€105.25m,37.0,€78.00m,40.0,-27250000.0
Arsenal,38,21,7,10,25,2011,70,2.0,74,2.0,49,6.0,€121.48m,49.0,€144.14m,44.0,22670000.0
Arsenal,38,19,11,8,29,2010,68,-7.0,72,-11.0,43,2.0,€88.48m,51.0,€86.39m,48.0,-2089999.0
Arsenal,38,23,6,9,42,2009,75,3.0,83,15.0,41,4.0,€35.00m,31.0,€55.80m,35.0,20800000.0
Arsenal,38,20,12,6,31,2008,72,-11.0,68,-6.0,37,6.0,€52.15m,28.0,€73.50m,24.0,21350000.0
Arsenal,38,24,11,3,43,2007,83,15.0,74,11.0,31,-4.0,€71.10m,32.0,€82.53m,29.0,11430000.0
Arsenal,38,19,11,8,28,2006,68,1.0,63,-5.0,35,4.0,€45.95m,32.0,€69.65m,36.0,23700000.0
Arsenal,38,20,7,11,37,2005,67,-16.0,68,-19.0,31,-5.0,€61.00m,32.0,€37.93m,36.0,-23080000.0
Arsenal,38,25,8,5,51,2004,83,-7.0,87,14.0,36,10.0,€58.48m,39.0,€28.90m,37.0,-29580000.0
Arsenal,38,26,12,0,47,2003,90,12.0,73,-12.0,26,-16.0,€39.90m,40.0,€4.95m,41.0,-34950000.0
Arsenal,38,23,9,6,43,2002,78,-9.0,85,6.0,42,6.0,€40.25m,32.0,€9.27m,41.0,-30980000.0
Arsenal,38,26,9,3,43,2001,87,17.0,79,16.0,36,-2.0,€45.51m,35.0,€20.22m,34.0,-25290000.0
Arsenal,38,20,10,8,25,2000,70,-3.0,63,-10.0,38,-5.0,€88.99m,44.0,€61.53m,35.0,-27460000.0
Arsenal,38,22,7,9,30,1999,73,-5.0,73,14.0,43,26.0,€81.70m,40.0,€91.08m,40.0,9380000.0
Arsenal,38,22,12,4,42,1998,78,-0.0,59,-9.0,17,-16.0,€41.35m,32.0,€42.30m,31.0,950000.0
Arsenal,38,23,9,6,35,1997,78,10.0,68,6.0,33,1.0,€37.98m,31.0,€9.17m,24.0,-28810000.0
Arsenal,38,19,11,8,30,1996,68,5.0,62,13.0,32,-0.0,€28.14m,24.0,€16.57m,27.0,-11570000.0
Arsenal,38,17,12,9,17,1995,63,12.0,49,-3.0,32,-17.0,€24.46m,15.0,€10.35m,20.0,-14120000.0
Arsenal,42,13,12,17,3,1994,51,-20.0,52,-1.0,49,21.0,€25.53m,19.0,€6.90m,13.0,-18630000.0
Arsenal,42,18,17,7,25,1993,71,,53,,28,,€8.46m,17.0,€6.98m,16.0,-1480000.0
Aston Villa,38,20,8,10,15,2023,68,7.0,76,25.0,61,15.0,€111.50m,20.0,€36.55m,18.0,-74950000.0
Aston Villa,38,18,7,13,5,2022,61,16.0,51,-1.0,46,-8.0,€211.64m,39.0,€86.55m,37.0,-125090000.0
Aston Villa,38,13,6,19,-2,2021,45,-10.0,52,-3.0,54,8.0,€229.94m,45.0,€181.00m,40.0,-48940000.0
Aston Villa,38,16,7,15,9,2020,55,20.0,55,14.0,46,-21.0,€231.15m,34.0,€129.77m,33.0,-101380000.0
Aston Villa,38,9,8,21,-26,2019,35,,41,14.0,67,-9.0,€260.85m,34.0,€5.77m,37.0,-255080000.0
Aston Villa,38,3,8,27,-49,2015,17,-21.0,27,-4.0,76,19.0,€152.05m,51.0,€110.50m,57.0,-41550000.0
Aston Villa,38,10,8,20,-26,2014,38,-0.0,31,-8.0,57,-4.0,€80.00m,58.0,€66.02m,64.0,-13990000.0
Aston Villa,38,10,8,20,-22,2013,38,-3.0,39,-8.0,61,-8.0,€33.29m,63.0,€9.42m,61.0,-23880000.0
Aston Villa,38,10,11,17,-22,2012,41,3.0,47,10.0,69,16.0,€47.67m,52.0,€11.30m,41.0,-36370000.0
Aston Villa,38,7,17,14,-16,2011,38,-10.0,37,-11.0,53,-6.0,€48.17m,38.0,€46.95m,37.0,-1220000.0
Aston Villa,38,12,12,14,-11,2010,48,-16.0,48,-4.0,59,20.0,€57.74m,40.0,€72.15m,45.0,14410000.0
Aston Villa,38,17,13,8,13,2009,64,2.0,52,-2.0,39,-9.0,€84.30m,41.0,€50.50m,36.0,-33800000.0
Aston Villa,38,17,11,10,6,2008,62,2.0,54,-17.0,48,-3.0,€102.80m,40.0,€29.62m,31.0,-73180000.0
Aston Villa,38,16,12,10,20,2007,60,10.0,71,28.0,51,10.0,€80.80m,30.0,€25.42m,31.0,-55380000.0
Aston Villa,38,11,17,10,2,2006,50,8.0,43,1.0,41,-14.0,€49.60m,29.0,€22.23m,32.0,-27380000.0
Aston Villa,38,10,12,16,-13,2005,42,-5.0,42,-3.0,55,3.0,€41.24m,34.0,€10.73m,31.0,-30520000.0
Aston Villa,38,12,11,15,-7,2004,47,-9.0,45,-3.0,52,8.0,€26.68m,30.0,€9.83m,32.0,-16860000.0
Aston Villa,38,15,11,12,4,2003,56,11.0,48,6.0,44,-3.0,€18.52m,33.0,€3.72m,46.0,-14800000.0
Aston Villa,38,12,9,17,-5,2002,45,-5.0,42,-4.0,47,-0.0,€17.45m,42.0,€7.19m,45.0,-10260000.0
Aston Villa,38,12,14,12,-1,2001,50,-4.0,46,-0.0,47,4.0,€35.18m,38.0,€23.78m,32.0,-11400000.0
