Rank,Club,Total Passes,Year,Total Passes Diff
6,Arsenal,21052,2023,602.0
5,Arsenal,20450,2022,2160.0
8,Arsenal,18290,2021,-1836.0
5,Arsenal,20126,2020,1477.0
6,Arsenal,18649,2019,-2156.0
5,Arsenal,20805,2018,-2719.0
2,Arsenal,23524,2017,2132.0
3,Arsenal,21392,2016,143.0
1,Arsenal,21249,2015,722.0
3,Arsenal,20527,2014,-1347.0
1,Arsenal,21874,2013,493.0
1,Arsenal,21381,2012,768.0
3,Arsenal,20613,2011,463.0
1,Arsenal,20150,2010,849.0
2,Arsenal,19301,2009,293.0
4,Arsenal,19008,2008,177.0
1,Arsenal,18831,2007,364.0
2,Arsenal,18467,2006,
10,Aston Villa,17876,2023,1936.0
12,Aston Villa,15940,2022,1054.0
14,Aston Villa,14886,2021,-303.0
14,Aston Villa,15189,2020,1354.0
18,Aston Villa,13835,2019,
12,Aston Villa,15308,2015,-1219.0
10,Aston Villa,16527,2014,2657.0
18,Aston Villa,13870,2013,-402.0
14,Aston Villa,14272,2012,1114.0
18,Aston Villa,13158,2011,-1453.0
11,Aston Villa,14611,2010,1475.0
14,Aston Villa,13136,2009,717.0
16,Aston Villa,12419,2008,981.0
18,Aston Villa,11438,2007,-1816.0
8,Aston Villa,13254,2006,
16,Birmingham,14036,2010,486.0
12,Birmingham,13550,2009,
19,Birmingham,10630,2007,
19,Blackburn,12424,2011,1246.0
19,Blackburn,11178,2010,-620.0
17,Blackburn,11798,2009,-1684.0
14,Blackburn,13482,2008,-172.0
9,Blackburn,13654,2007,-379.0
7,Blackburn,14033,2006,
9,Blackpool,15113,2010,
16,Bolton,13580,2011,876.0
18,Bolton,12704,2010,1274.0
19,Bolton,11430,2009,750.0
19,Bolton,10680,2008,-1174.0
15,Bolton,11854,2007,-568.0
14,Bolton,12422,2006,
16,Bournemouth,14204,2023,273.0
18,Bournemouth,13931,2022,
15,Bournemouth,14694,2019,-1249.0
12,Bournemouth,15943,2018,-188.0
8,Bournemouth,16131,2017,-1014.0
9,Bournemouth,17145,2016,-125.0
9,Bournemouth,17270,2015,
14,Brentford,15223,2023,1303.0
19,Brentford,13920,2022,-684.0
15,Brentford,14604,2021,
2,Brighton,23547,2023,2267.0
3,Brighton,21280,2022,2445.0
6,Brighton,18835,2021,650.0
9,Brighton,18185,2020,-3.0
8,Brighton,18188,2019,4079.0
17,Brighton,14109,2018,-566.0
14,Brighton,14675,2017,
12,Burnley,16447,2023,
20,Burnley,12319,2021,-1527.0
18,Burnley,13846,2020,1032.0
20,Burnley,12814,2019,-197.0
19,Burnley,13011,2018,-561.0
18,Burnley,13572,2017,1013.0
18,Burnley,12559,2016,
17,Burnley,13632,2014,
11,Burnley,13832,2009,
20,Cardiff City,10226,2018,
17,Cardiff City,14033,2013,
12,Charlton,12722,2006,
5,Chelsea,21926,2023,777.0
4,Chelsea,21149,2022,-2030.0
3,Chelsea,23179,2021,-891.0
3,Chelsea,24070,2020,825.0
3,Chelsea,23245,2019,-1825.0
2,Chelsea,25070,2018,3806.0
5,Chelsea,21264,2017,1139.0
6,Chelsea,20125,2016,461.0
5,Chelsea,19664,2015,-604.0
4,Chelsea,20268,2014,1987.0
8,Chelsea,18281,2013,-171.0
6,Chelsea,18452,2012,-314.0
7,Chelsea,18766,2011,-470.0
2,Chelsea,19236,2010,367.0
3,Chelsea,18869,2009,-1071.0
1,Chelsea,19940,2008,2688.0
3,Chelsea,17252,2007,483.0
4,Chelsea,16769,2006,
13,Crystal Palace,15252,2023,-455.0
13,Crystal Palace,15707,2022,-1602.0
10,Crystal Palace,17309,2021,3242.0
17,Crystal Palace,14067,2020,-621.0
16,Crystal Palace,14688,2019,-555.0
15,Crystal Palace,15243,2018,871.0
15,Crystal Palace,14372,2017,829.0
17,Crystal Palace,13543,2016,-242.0
17,Crystal Palace,13785,2015,1714.0
20,Crystal Palace,12071,2014,245.0
20,Crystal Palace,11826,2013,
16,Derby,11753,2007,
18,Everton,13764,2023,-388.0
17,Everton,14152,2022,1208.0
18,Everton,12944,2021,-4188.0
13,Everton,17132,2020,1306.0
11,Everton,15826,2019,-668.0
10,Everton,16494,2018,1745.0
13,Everton,14749,2017,-2835.0
8,Everton,17584,2016,-363.0
8,Everton,17947,2015,-862.0
7,Everton,18809,2014,490.0
7,Everton,18319,2013,2475.0
11,Everton,15844,2012,775.0
11,Everton,15069,2011,698.0
12,Everton,14371,2010,-474.0
8,Everton,14845,2009,-225.0
9,Everton,15070,2008,2673.0
13,Everton,12397,2007,123.0
15,Everton,12274,2006,
7,Fulham,18587,2023,2390.0
10,Fulham,16197,2022,
10,Fulham,17796,2020,
7,Fulham,17699,2018,
15,Fulham,14689,2013,-2268.0
8,Fulham,16957,2012,-712.0
8,Fulham,17669,2011,1324.0
7,Fulham,16345,2010,-168.0
5,Fulham,16513,2009,364.0
5,Fulham,16149,2008,3566.0
12,Fulham,12583,2007,763.0
16,Fulham,11820,2006,
13,Huddersfield,15902,2018,942.0
12,Huddersfield,14960,2017,
12,Hull City,15610,2016,
13,Hull City,14864,2014,-457.0
12,Hull City,15321,2013,
18,Hull City,11757,2009,-61.0
18,Hull City,11818,2008,
14,Leeds,15160,2022,-1343.0
12,Leeds,16503,2021,-2149.0
8,Leeds,18652,2020,
8,Leicester,17365,2022,-1213.0
7,Leicester,18578,2021,-999.0
6,Leicester,19577,2020,-338.0
5,Leicester,19915,2019,2696.0
8,Leicester,17219,2018,2019.0
11,Leicester,15200,2017,1526.0
16,Leicester,13674,2016,304.0
18,Leicester,13370,2015,27.0
19,Leicester,13343,2014,
3,Liverpool,22515,2023,114.0
2,Liverpool,22401,2022,-1187.0
2,Liverpool,23588,2021,-704.0
2,Liverpool,24292,2020,420.0
2,Liverpool,23872,2019,234.0
3,Liverpool,23638,2018,676.0
3,Liverpool,22962,2017,679.0
2,Liverpool,22283,2016,2550.0
4,Liverpool,19733,2015,359.0
5,Liverpool,19374,2014,-238.0
4,Liverpool,19612,2013,-219.0
4,Liverpool,19831,2012,1034.0
6,Liverpool,18797,2011,2063.0
6,Liverpool,16734,2010,-1856.0
4,Liverpool,18590,2009,-918.0
2,Liverpool,19508,2008,3148.0
4,Liverpool,16360,2007,-802.0
3,Liverpool,17162,2006,
19,Luton,13310,2023,
1,Man City,26251,2023,1179.0
1,Man City,25072,2022,-1060.0
1,Man City,26132,2021,481.0
1,Man City,25651,2020,-678.0
1,Man City,26329,2019,-252.0
1,Man City,26581,2018,-1660.0
1,Man City,28241,2017,5536.0
1,Man City,22705,2016,2217.0
2,Man City,20488,2015,-1619.0
1,Man City,22107,2014,1333.0
3,Man City,20774,2013,700.0
2,Man City,20074,2012,-789.0
1,Man City,20863,2011,3095.0
4,Man City,17768,2010,1439.0
6,Man City,16329,2009,346.0
6,Man City,15983,2008,834.0
6,Man City,15149,2007,2384.0
11,Man City,12765,2006,
9,Man Utd,18070,2023,-1016.0
6,Man Utd,19086,2022,51.0
5,Man Utd,19035,2021,-1961.0
4,Man Utd,20996,2020,937.0
4,Man Utd,20059,2019,857.0
