Club,Expenditure,Arrivals,Income,Departures,Balance,Year
Arsenal,€234.94m,18,€69.20m,19,-165740000.0,2023
Arsenal,€421.34m,40,€93.00m,34,-328340000.0,2022
Arsenal,€353.80m,38,€55.20m,38,-298600000.0,2021
Arsenal,€253.40m,29,€50.55m,36,-202850000.0,2020
Arsenal,€246.80m,32,€72.80m,35,-174000000.0,2019
Arsenal,€240.95m,33,€62.75m,31,-178200000.0,2018
Arsenal,€233.00m,27,€171.50m,28,-61500000.0,2017
Arsenal,€265.85m,21,€172.75m,28,-93100000.0,2016
Arsenal,€139.50m,26,€12.85m,24,-126650000.0,2015
Arsenal,€145.48m,33,€30.30m,34,-115180000.0,2014
Arsenal,€168.23m,39,€39.95m,44,-128280000.0,2013
Arsenal,€105.25m,37,€78.00m,40,-27250000.0,2012
Arsenal,€121.48m,49,€144.14m,44,22670000.0,2011
Arsenal,€88.48m,51,€86.39m,48,-2089999.0,2010
Arsenal,€35.00m,31,€55.80m,35,20800000.0,2009
Arsenal,€52.15m,28,€73.50m,24,21350000.0,2008
Arsenal,€71.10m,32,€82.53m,29,11430000.0,2007
Arsenal,€45.95m,32,€69.65m,36,23700000.0,2006
Arsenal,€61.00m,32,€37.93m,36,-23080000.0,2005
Arsenal,€58.48m,39,€28.90m,37,-29580000.0,2004
Arsenal,€39.90m,40,€4.95m,41,-34950000.0,2003
Arsenal,€40.25m,32,€9.27m,41,-30980000.0,2002
Arsenal,€45.51m,35,€20.22m,34,-25290000.0,2001
Arsenal,€88.99m,44,€61.53m,35,-27460000.0,2000
Arsenal,€81.70m,40,€91.08m,40,9380000.0,1999
Arsenal,€41.35m,32,€42.30m,31,950000.0,1998
Arsenal,€37.98m,31,€9.17m,24,-28810000.0,1997
Arsenal,€28.14m,24,€16.57m,27,-11570000.0,1996
Arsenal,€24.46m,15,€10.35m,20,-14120000.0,1995
Arsenal,€25.53m,19,€6.90m,13,-18630000.0,1994
Arsenal,€8.46m,17,€6.98m,16,-1480000.0,1993
Arsenal FC U18,€3.55m,7,€5k,22,-3550000.0,2003
Arsenal FC U18,€3.20m,6,-,14,-3200000.0,2002
Aston Villa,€111.50m,20,€36.55m,18,-74950000.0,2023
Aston Villa,€211.64m,39,€86.55m,37,-125090000.0,2022
Aston Villa,€229.94m,45,€181.00m,40,-48940000.0,2021
Aston Villa,€231.15m,34,€129.77m,33,-101380000.0,2020
Aston Villa,€260.85m,34,€5.77m,37,-255080000.0,2019
Aston Villa,€178.60m,47,€19.15m,48,-159450000.0,2018
Aston Villa,€88.30m,40,€63.63m,43,-24670000.0,2016
Aston Villa,€152.05m,51,€110.50m,57,-41550000.0,2015
Aston Villa,€80.00m,58,€66.02m,64,-13990000.0,2014
Aston Villa,€33.29m,63,€9.42m,61,-23880000.0,2013
Aston Villa,€47.67m,52,€11.30m,41,-36370000.0,2012
Aston Villa,€48.17m,38,€46.95m,37,-1220000.0,2011
Aston Villa,€57.74m,40,€72.15m,45,14410000.0,2010
Aston Villa,€84.30m,41,€50.50m,36,-33800000.0,2009
Aston Villa,€102.80m,40,€29.62m,31,-73180000.0,2008
Aston Villa,€80.80m,30,€25.42m,31,-55380000.0,2007
Aston Villa,€49.60m,29,€22.23m,32,-27380000.0,2006
Aston Villa,€41.24m,34,€10.73m,31,-30520000.0,2005
Aston Villa,€26.68m,30,€9.83m,32,-16860000.0,2004
Aston Villa,€18.52m,33,€3.72m,46,-14800000.0,2003
Aston Villa,€17.45m,42,€7.19m,45,-10260000.0,2002
Aston Villa,€35.18m,38,€23.78m,32,-11400000.0,2001
Aston Villa,€47.22m,31,€37.69m,29,-9530000.0,2000
Aston Villa,€30.72m,28,€26.89m,31,-3840000.0,1999
Aston Villa,€52.40m,31,€32.05m,29,-20350000.0,1998
Aston Villa,€54.60m,25,€29.33m,17,-25270000.0,1997
Aston Villa,€19.90m,13,€7.74m,13,-12160000.0,1996
Aston Villa,€19.16m,18,€9.29m,20,-9880000.0,1995
Aston Villa,€19.85m,21,€14.20m,27,-5650000.0,1994
Aston Villa,€13.04m,20,€10.45m,26,-2590000.0,1993
Aston Villa U21,€2.76m,4,-,0,-2760000.0,2024
Barnsley,€9.56m,24,€8.85m,20,-710000.0,1997
Birmingham,€26.17m,54,€34.96m,55,8790000.0,2010
Birmingham,€45.65m,50,€575k,48,-45080000.0,2009
Birmingham,€23.55m,59,€11.28m,59,-12280000.0,2008
Birmingham,€32.80m,63,€19.35m,60,-13450000.0,2007
Birmingham,€49.73m,53,€40.95m,60,-8780000.0,2006
Birmingham,€32.53m,54,€40.43m,59,7900000.0,2005
Birmingham,€27.87m,59,€16.10m,48,-11770000.0,2004
Birmingham,€32.87m,44,€10.10m,48,-22770000.0,2003
Birmingham,€32.78m,38,€3.10m,46,-29680000.0,2002
Birmingham,€17.58m,46,€1.15m,39,-16430000.0,2001
Birmingham,€10.73m,24,€2.55m,24,-8180000.0,1997
Birmingham,€16.19m,50,€7.51m,53,-8670000.0,1996
Birmingham,€11.71m,64,€10.37m,63,-1340000.0,1995
Birmingham,€6.40m,49,€5.43m,47,-967000.0,1994
Birmingham,€5.54m,39,€1.64m,40,-3900000.0,1993
Blackburn,€19.65m,92,€16.83m,87,-2830000.0,2012
Blackburn,€37.93m,69,€51.70m,69,13770000.0,2011
Blackburn,€25.60m,55,€40.58m,57,14980000.0,2010
Blackburn,€18.33m,68,€36.93m,64,18600000.0,2009
