Player Name,Age,Position,Market value,Joined,Fee,Year,Club
Folarin Balogun,22,forward,€30.00m,Monaco,€30.00m,2023,Arsenal
Granit Xhaka,30,midfielder,€20.00m,B. Leverkusen,€15.00m,2023,Arsenal
Matt Turner,29,goalkeeper,€7.00m,Nottm Forest,€8.15m,2023,Arsenal
Pablo Marí,29,defender,€3.50m,Monza,€6.20m,2023,Arsenal
Auston Trusty,24,defender,€7.00m,Sheff Utd,€5.80m,2023,Arsenal
Kieran Tierney,26,defender,€12.00m,Real Sociedad,Loan fee:€1.40m,2023,Arsenal
Rob Holding,27,defender,€5.00m,Crystal Palace,€1.20m,2023,Arsenal
Nuno Tavares,23,defender,€15.00m,Nottm Forest,Loan fee:€1.15m,2023,Arsenal
Marquinhos,20,forward,€7.00m,FC Nantes,Loan fee:€300k,2023,Arsenal
Rúnar Alex Rúnarsson,28,goalkeeper,€700k,FC Copenhagen,free transfer,2023,Arsenal
Nicolas Pépé,28,forward,€8.50m,Trabzonspor,free transfer,2023,Arsenal
Ainsley Maitland-Niles,25,midfielder,€9.00m,Olympique Lyon,free transfer,2023,Arsenal
Albert Sambi Lokonga,23,midfielder,€15.00m,Luton,loan transfer,2023,Arsenal
Rúnar Alex Rúnarsson,28,goalkeeper,€700k,Cardiff,loan transfer,2023,Arsenal
Arthur Okonkwo,21,goalkeeper,€1.80m,Wrexham,loan transfer,2023,Arsenal
Marquinhos,20,forward,€7.00m,Fluminense,loan transfer,2023,Arsenal
Mattéo Guendouzi,23,midfielder,€25.00m,Marseille,€11.00m,2022,Arsenal
Lucas Torreira,26,midfielder,€15.00m,Galatasaray,€6.00m,2022,Arsenal
Bernd Leno,30,goalkeeper,€13.00m,Fulham,€3.60m,2022,Arsenal
Konstantinos Mavropanos,24,defender,€20.00m,VfB Stuttgart,€3.20m,2022,Arsenal
Héctor Bellerín,27,defender,€4.00m,Barcelona,free transfer,2022,Arsenal
Alexandre Lacazette,31,forward,€9.00m,Olympique Lyon,free transfer,2022,Arsenal
Pablo Marí,28,defender,€3.50m,Monza,loan transfer,2022,Arsenal
Ainsley Maitland-Niles,25,midfielder,€9.00m,Southampton,loan transfer,2022,Arsenal
Folarin Balogun,21,forward,€30.00m,Stade Reims,loan transfer,2022,Arsenal
Nicolas Pépé,27,forward,€8.50m,OGC Nice,loan transfer,2022,Arsenal
Cédric Soares,31,defender,€2.00m,Fulham,loan transfer,2022,Arsenal
Albert Sambi Lokonga,23,midfielder,€15.00m,Crystal Palace,loan transfer,2022,Arsenal
Nuno Tavares,22,defender,€15.00m,Marseille,loan transfer,2022,Arsenal
Rúnar Alex Rúnarsson,27,goalkeeper,€700k,Alanyaspor,loan transfer,2022,Arsenal
Arthur Okonkwo,20,goalkeeper,€1.80m,Crewe Alexandra,loan transfer,2022,Arsenal
Marquinhos,19,forward,€7.00m,Norwich,loan transfer,2022,Arsenal
Auston Trusty,23,defender,€7.00m,Birmingham,loan transfer,2022,Arsenal
Arthur Okonkwo,21,goalkeeper,€1.80m,Sturm Graz,loan transfer,2022,Arsenal
Joe Willock,21,midfielder,€30.00m,Newcastle,€29.40m,2021,Arsenal
Lucas Torreira,25,midfielder,€15.00m,Fiorentina,Loan fee:€1.50m,2021,Arsenal
Ainsley Maitland-Niles,24,midfielder,€9.00m,AS Roma,Loan fee:€500k,2021,Arsenal
David Luiz,34,defender,€400k,Flamengo,free transfer,2021,Arsenal
Sead Kolasinac,28,defender,€10.00m,Marseille,free transfer,2021,Arsenal
Willian,33,forward,€3.00m,Corinthians,free transfer,2021,Arsenal
Pierre-Emerick Aubameyang,32,forward,€5.00m,Barcelona,free transfer,2021,Arsenal
Dejan Iliev,26,goalkeeper,€300k,AS Trencin,free transfer,2021,Arsenal
Calum Chambers,27,defender,€4.00m,Aston Villa,free transfer,2021,Arsenal
Auston Trusty,23,defender,€7.00m,Colorado,loan transfer,2021,Arsenal
William Saliba,20,defender,€80.00m,Marseille,loan transfer,2021,Arsenal
Dejan Iliev,26,goalkeeper,€300k,SKF Sered,loan transfer,2021,Arsenal
Rúnar Alex Rúnarsson,26,goalkeeper,€700k,OH Leuven,loan transfer,2021,Arsenal
Mattéo Guendouzi,22,midfielder,€25.00m,Marseille,loan transfer,2021,Arsenal
Reiss Nelson,21,forward,€15.00m,Feyenoord,loan transfer,2021,Arsenal
Pablo Marí,28,defender,€3.50m,Udinese Calcio,loan transfer,2021,Arsenal
Héctor Bellerín,26,defender,€4.00m,Real Betis,loan transfer,2021,Arsenal
Dani Ceballos,24,midfielder,€6.00m,Real Madrid,"End of loanJun 30, 2021",2021,Arsenal
Martin Ødegaard,22,midfielder,€110.00m,Real Madrid,"End of loanJun 30, 2021",2021,Arsenal
Mathew Ryan,29,goalkeeper,€3.50m,Brighton,"End of loanJun 30, 2021",2021,Arsenal
Emiliano Martínez,28,goalkeeper,€28.00m,Aston Villa,€17.40m,2020,Arsenal
Mattéo Guendouzi,21,midfielder,€25.00m,Hertha BSC,Loan fee:€1.00m,2020,Arsenal
Konstantinos Mavropanos,22,defender,€20.00m,VfB Stuttgart,Loan fee:€750k,2020,Arsenal
Matt Macey,26,goalkeeper,€250k,Hibernian FC,free transfer,2020,Arsenal
Sokratis Papastathopoulos,32,defender,-,Olympiacos,free transfer,2020,Arsenal
Henrikh Mkhitaryan,31,midfielder,€6.00m,AS Roma,free transfer,2020,Arsenal
Shkodran Mustafi,28,defender,-,FC Schalke 04,free transfer,2020,Arsenal
Mesut Özil,32,midfielder,-,Fenerbahce,free transfer,2020,Arsenal
Sead Kolasinac,27,defender,€10.00m,FC Schalke 04,loan transfer,2020,Arsenal
William Saliba,19,defender,€80.00m,OGC Nice,loan transfer,2020,Arsenal
Dejan Iliev,25,goalkeeper,€300k,Shrewsbury,loan transfer,2020,Arsenal
Ainsley Maitland-Niles,23,midfielder,€9.00m,West Brom,loan transfer,2020,Arsenal
Joe Willock,21,midfielder,€30.00m,Newcastle,loan transfer,2020,Arsenal
Lucas Torreira,24,midfielder,€15.00m,Atlético Madrid,loan transfer,2020,Arsenal
Cédric Soares,28,defender,€2.00m,Southampton,"End of loanJun 30, 2020",2020,Arsenal
Pablo Marí,26,defender,€3.50m,Flamengo,"End of loanJun 30, 2020",2020,Arsenal
Alex Iwobi,23,forward,€25.00m,Everton,€30.40m,2019,Arsenal
Krystian Bielik,21,midfielder,€2.50m,Derby,€8.20m,2019,Arsenal
Laurent Koscielny,33,defender,-,G. Bordeaux,€5.00m,2019,Arsenal
David Ospina,30,goalkeeper,€2.00m,SSC Napoli,€3.50m,2019,Arsenal
Henrikh Mkhitaryan,30,midfielder,€6.00m,AS Roma,Loan fee:€3.10m,2019,Arsenal
Carl Jenkinson,27,defender,€250k,Nottm Forest,€2.20m,2019,Arsenal
Takuma Asano,24,forward,€4.00m,Partizan,€1.00m,2019,Arsenal
Nacho Monreal,33,defender,-,Real Sociedad,€250k,2019,Arsenal
Aaron Ramsey,28,midfielder,€1.00m,Juventus,free transfer,2019,Arsenal
Stephan Lichtsteiner,35,defender,-,FC Augsburg,free transfer,2019,Arsenal
Danny Welbeck,28,forward,€5.00m,Watford,free transfer,2019,Arsenal
William Saliba,18,defender,€80.00m,Saint-Étienne,loan transfer,2019,Arsenal
Mohamed Elneny,27,midfielder,€3.50m,Besiktas,loan transfer,2019,Arsenal
Konstantinos Mavropanos,22,defender,€20.00m,1.FC Nuremberg,loan transfer,2019,Arsenal
Dejan Iliev,24,goalkeeper,€300k,SKF Sered,loan transfer,2019,Arsenal
Eddie Nketiah,20,forward,€30.00m,Leeds,loan transfer,2019,Arsenal
Dejan Iliev,24,goalkeeper,€300k,Jagiellonia,loan transfer,2019,Arsenal
Petr Cech,37,goalkeeper,-,Retired,-,2019,Arsenal
Denis Suárez,25,midfielder,€1.50m,Barcelona,"End of loanJun 30, 2019",2019,Arsenal
Lucas Pérez,29,forward,€600k,West Ham,€4.40m,2018,Arsenal
Chuba Akpom,22,forward,€12.00m,PAOK Salonika,€2.20m,2018,Arsenal
Joel Campbell,26,forward,€650k,Frosinone,€1.50m,2018,Arsenal
Takuma Asano,23,forward,€4.00m,Hannover 96,Loan fee:€1.00m,2018,Arsenal
Jack Wilshere,26,midfielder,-,West Ham,free transfer,2018,Arsenal
Santi Cazorla,33,midfielder,€300k,Villarreal,free transfer,2018,Arsenal
Matt Macey,23,goalkeeper,€250k,Plymouth,loan transfer,2018,Arsenal
