Player Name,Age,Market value,Left,Fee,Year,Club,Position
Declan Rice,24,€90.00m,West Ham,€116.60m,2023,Arsenal,midfielder
Kai Havertz,24,€55.00m,Chelsea,€75.00m,2023,Arsenal,midfielder
Jurrien Timber,22,€42.00m,Ajax,€40.00m,2023,Arsenal,defender
David Raya,27,€30.00m,Brentford,Loan fee:€3.34m,2023,Arsenal,goalkeeper
Albert Sambi Lokonga,24,€15.00m,Luton,"End of loanMay 31, 2024",2023,Arsenal,midfielder
Pablo Marí,29,€5.00m,Monza,"End of loanJun 30, 2023",2023,Arsenal,defender
Folarin Balogun,21,€30.00m,Stade Reims,"End of loanJun 30, 2023",2023,Arsenal,forward
Nicolas Pépé,28,€18.00m,OGC Nice,"End of loanJun 30, 2023",2023,Arsenal,forward
Cédric Soares,31,€3.00m,Fulham,"End of loanJun 30, 2023",2023,Arsenal,defender
Nuno Tavares,23,€18.00m,Marseille,"End of loanJun 30, 2023",2023,Arsenal,defender
Rúnar Alex Rúnarsson,28,€1.50m,Alanyaspor,"End of loanJun 30, 2023",2023,Arsenal,goalkeeper
Rúnar Alex Rúnarsson,28,€800k,Cardiff,"End of loanJan 31, 2024",2023,Arsenal,goalkeeper
Marquinhos,20,€7.00m,FC Nantes,"End of loanJan 12, 2024",2023,Arsenal,forward
Arthur Okonkwo,22,€1.80m,Wrexham,"End of loanMay 31, 2024",2023,Arsenal,goalkeeper
Arthur Okonkwo,21,€2.00m,Sturm Graz,"End of loanJun 30, 2023",2023,Arsenal,goalkeeper
Gabriel Jesus,25,€50.00m,Man City,€52.20m,2022,Arsenal,forward
Fábio Vieira,22,€25.00m,FC Porto,€35.00m,2022,Arsenal,midfielder
Oleksandr Zinchenko,25,€25.00m,Man City,€35.00m,2022,Arsenal,defender
Leandro Trossard,28,€30.00m,Brighton,€24.00m,2022,Arsenal,forward
Jakub Kiwior,22,€8.00m,Spezia Calcio,€19.50m,2022,Arsenal,defender
Jorginho,31,€35.00m,Chelsea,€11.30m,2022,Arsenal,midfielder
Matt Turner,28,€5.00m,New England,€5.90m,2022,Arsenal,goalkeeper
Marquinhos,19,€7.00m,São Paulo,€3.50m,2022,Arsenal,forward
Folarin Balogun,20,€4.00m,Arsenal U21,-,2022,Arsenal,forward
Karl Hein,20,€800k,Arsenal U21,-,2022,Arsenal,goalkeeper
Ainsley Maitland-Niles,25,€8.00m,Southampton,"End of loanMay 31, 2023",2022,Arsenal,midfielder
Auston Trusty,23,€2.00m,Colorado,"End of loanJul 14, 2022",2022,Arsenal,defender
William Saliba,21,€30.00m,Marseille,"End of loanJun 30, 2022",2022,Arsenal,defender
Albert Sambi Lokonga,23,€15.00m,Crystal Palace,"End of loanMay 31, 2023",2022,Arsenal,midfielder
Lucas Torreira,26,€20.00m,Fiorentina,"End of loanJun 30, 2022",2022,Arsenal,midfielder
Konstantinos Mavropanos,24,€15.00m,VfB Stuttgart,"End of loanJun 30, 2022",2022,Arsenal,defender
Arthur Okonkwo,21,€1.50m,Crewe Alexandra,"End of loanJan 15, 2023",2022,Arsenal,goalkeeper
Ainsley Maitland-Niles,24,€10.00m,AS Roma,"End of loanJun 30, 2022",2022,Arsenal,midfielder
Rúnar Alex Rúnarsson,27,€1.20m,OH Leuven,"End of loanJun 30, 2022",2022,Arsenal,goalkeeper
Marquinhos,20,€12.00m,Norwich,"End of loanMay 31, 2023",2022,Arsenal,forward
Auston Trusty,24,€9.00m,Birmingham,"End of loanMay 31, 2023",2022,Arsenal,defender
Mattéo Guendouzi,23,€25.00m,Marseille,"End of loanJun 30, 2022",2022,Arsenal,midfielder
Reiss Nelson,22,€6.50m,Feyenoord,"End of loanJun 30, 2022",2022,Arsenal,forward
Pablo Marí,28,€5.00m,Udinese Calcio,"End of loanJun 30, 2022",2022,Arsenal,defender
Héctor Bellerín,27,€20.00m,Real Betis,"End of loanJun 30, 2022",2022,Arsenal,defender
Ben White,23,€28.00m,Brighton,€58.50m,2021,Arsenal,defender
Martin Ødegaard,22,€40.00m,Real Madrid,€35.00m,2021,Arsenal,midfielder
Aaron Ramsdale,23,€12.00m,Sheff Utd,€28.00m,2021,Arsenal,goalkeeper
Takehiro Tomiyasu,22,€20.00m,Bologna,€18.60m,2021,Arsenal,defender
Albert Sambi Lokonga,21,€12.00m,RSC Anderlecht,€17.50m,2021,Arsenal,midfielder
Nuno Tavares,21,€7.00m,Benfica,€8.00m,2021,Arsenal,defender
Auston Trusty,23,€2.00m,Colorado,€1.80m,2021,Arsenal,defender
Arthur Okonkwo,19,-,Arsenal U23,-,2021,Arsenal,goalkeeper
William Saliba,20,€18.00m,OGC Nice,"End of loanJun 30, 2021",2021,Arsenal,defender
Sead Kolasinac,28,€6.50m,FC Schalke 04,"End of loanJun 30, 2021",2021,Arsenal,defender
Mattéo Guendouzi,22,€20.00m,Hertha BSC,"End of loanJun 30, 2021",2021,Arsenal,midfielder
Lucas Torreira,25,€20.00m,Atlético Madrid,"End of loanJun 30, 2021",2021,Arsenal,midfielder
Dejan Iliev,26,€350k,SKF Sered,"End of loanDec 31, 2021",2021,Arsenal,goalkeeper
Thomas Partey,27,€40.00m,Atlético Madrid,€50.00m,2020,Arsenal,midfielder
Gabriel Magalhães,22,€20.00m,LOSC Lille,€26.00m,2020,Arsenal,defender
Pablo Marí,26,€4.80m,Flamengo,€6.00m,2020,Arsenal,defender
Rúnar Alex Rúnarsson,25,€1.20m,Dijon,€2.00m,2020,Arsenal,goalkeeper
Martin Ødegaard,22,€40.00m,Real Madrid,Loan fee:€2.00m,2020,Arsenal,midfielder
Cédric Soares,28,€8.00m,Southampton,free transfer,2020,Arsenal,defender
Willian,32,€22.50m,Chelsea,free transfer,2020,Arsenal,forward
Mathew Ryan,28,€8.00m,Brighton,loan transfer,2020,Arsenal,goalkeeper
Emile Smith Rowe,20,€2.70m,Arsenal U23,-,2020,Arsenal,midfielder
Mohamed Elneny,28,€5.00m,Besiktas,"End of loanAug 3, 2020",2020,Arsenal,midfielder
Dejan Iliev,25,€300k,Shrewsbury,"End of loanJan 31, 2021",2020,Arsenal,goalkeeper
Henrikh Mkhitaryan,31,€20.00m,AS Roma,"End of loanAug 31, 2020",2020,Arsenal,midfielder
Dejan Iliev,25,€300k,Jagiellonia,"End of loanJul 31, 2020",2020,Arsenal,goalkeeper
Ainsley Maitland-Niles,23,€18.00m,West Brom,"End of loanMay 31, 2021",2020,Arsenal,midfielder
Joe Willock,21,€16.00m,Newcastle,"End of loanMay 31, 2021",2020,Arsenal,midfielder
William Saliba,19,€22.50m,Saint-Étienne,"End of loanJun 30, 2020",2020,Arsenal,defender
Nicolas Pépé,24,€65.00m,LOSC Lille,€80.00m,2019,Arsenal,forward
William Saliba,18,€12.00m,Saint-Étienne,€30.00m,2019,Arsenal,defender
Kieran Tierney,22,€12.50m,Celtic,€27.00m,2019,Arsenal,defender
David Luiz,32,€20.00m,Chelsea,€8.70m,2019,Arsenal,defender
Pablo Marí,26,€1.80m,Flamengo,Loan fee:€8.00m,2019,Arsenal,defender
Gabriel Martinelli,18,-,Ituano,€7.10m,2019,Arsenal,forward
Cédric Soares,28,€10.00m,Southampton,loan transfer,2019,Arsenal,defender
Dani Ceballos,22,€30.00m,Real Madrid,loan transfer,2019,Arsenal,midfielder
Reiss Nelson,19,€17.00m,Arsenal U23,-,2019,Arsenal,forward
Bukayo Saka,17,-,Arsenal U23,-,2019,Arsenal,forward
Joe Willock,19,-,Arsenal U23,-,2019,Arsenal,midfielder
Konstantinos Mavropanos,22,€2.40m,1.FC Nuremberg,"End of loanJul 12, 2020",2019,Arsenal,defender
Dejan Iliev,24,€300k,SKF Sered,"End of loanDec 31, 2019",2019,Arsenal,goalkeeper
David Ospina,30,€4.00m,SSC Napoli,"End of loanJun 30, 2019",2019,Arsenal,goalkeeper
Eddie Nketiah,20,€8.00m,Leeds,"End of loanJan 2, 2020",2019,Arsenal,forward
Takuma Asano,24,€1.50m,Hannover 96,"End of loanJun 30, 2019",2019,Arsenal,forward
Lucas Torreira,22,€30.00m,Sampdoria,€28.65m,2018,Arsenal,midfielder
Bernd Leno,26,€20.00m,B. Leverkusen,€25.00m,2018,Arsenal,goalkeeper
Sokratis Papastathopoulos,30,€20.00m,Bor. Dortmund,€16.00m,2018,Arsenal,defender
Mattéo Guendouzi,19,€2.50m,FC Lorient,€8.00m,2018,Arsenal,midfielder
Denis Suárez,25,€12.00m,Barcelona,Loan fee:€2.50m,2018,Arsenal,midfielder
Stephan Lichtsteiner,34,€1.50m,Juventus,free transfer,2018,Arsenal,defender
Eddie Nketiah,19,-,Arsenal U23,-,2018,Arsenal,forward
Dejan Iliev,23,-,Arsenal U23,-,2018,Arsenal,goalkeeper
Joel Campbell,26,€3.00m,Real Betis,"End of loanJun 30, 2018",2018,Arsenal,forward
Emiliano Martínez,26,€1.00m,Reading,"End of loanMay 31, 2019",2018,Arsenal,goalkeeper
Emiliano Martínez,25,€1.00m,Getafe,"End of loanJun 30, 2018",2018,Arsenal,goalkeeper
Krystian Bielik,21,€2.00m,Charlton,"End of loanMay 31, 2019",2018,Arsenal,midfielder
Matt Macey,24,€500k,Plymouth,"End of loanMay 31, 2019",2018,Arsenal,goalkeeper
Lucas Pérez,29,€7.50m,Dep. La Coruña,"End of loanJun 30, 2018",2018,Arsenal,forward
Takuma Asano,23,€2.00m,VfB Stuttgart,"End of loanJun 30, 2018",2018,Arsenal,forward
Calum Chambers,24,€14.00m,Fulham,"End of loanMay 31, 2019",2018,Arsenal,defender
Chuba Akpom,22,€1.20m,Sint-Truiden,"End of loanJun 30, 2018",2018,Arsenal,forward
Pierre-Emerick Aubameyang,28,€65.00m,Bor. Dortmund,€63.75m,2017,Arsenal,forward
Alexandre Lacazette,26,€40.00m,Olympique Lyon,€53.00m,2017,Arsenal,forward
Henrikh Mkhitaryan,29,€35.00m,Man Utd,€34.00m,2017,Arsenal,midfielder
Konstantinos Mavropanos,20,€450k,PAS Giannina,€2.10m,2017,Arsenal,defender
Sead Kolasinac,24,€15.00m,FC Schalke 04,free transfer,2017,Arsenal,defender
Ainsley Maitland-Niles,19,€750k,Arsenal U23,-,2017,Arsenal,midfielder
Krystian Bielik,20,€2.00m,Walsall,"End of loanMay 31, 2018",2017,Arsenal,midfielder
Wojciech Szczęsny,27,€17.00m,AS Roma,"End of loanJun 30, 2017",2017,Arsenal,goalkeeper
Joel Campbell,25,€6.00m,Sporting CP,"End of loanJun 30, 2017",2017,Arsenal,forward
Carl Jenkinson,26,€3.50m,Birmingham,"End of loanMay 31, 2018",2017,Arsenal,defender
Granit Xhaka,23,€35.00m,Bor. M'gladbach,€45.00m,2016,Arsenal,midfielder
Shkodran Mustafi,24,€20.00m,Valencia,€41.00m,2016,Arsenal,defender
Lucas Pérez,27,€12.00m,Dep. La Coruña,€20.00m,2016,Arsenal,forward
Takuma Asano,21,€1.20m,Sanf. Hiroshima,€4.00m,2016,Arsenal,forward
Rob Holding,20,€250k,Bolton,€3.00m,2016,Arsenal,defender
Jack Wilshere,25,€20.00m,Bournemouth,"End of loanMay 31, 2017",2016,Arsenal,midfielder
Krystian Bielik,19,€1.50m,Birmingham,"End of loanMay 31, 2017",2016,Arsenal,midfielder
Matt Macey,22,€500k,Luton,"End of loanApr 5, 2017",2016,Arsenal,goalkeeper
Calum Chambers,22,€12.00m,Middlesbrough,"End of loanMay 31, 2017",2016,Arsenal,defender
Mathieu Debuchy,30,€7.50m,G. Bordeaux,"End of loanJun 30, 2016",2016,Arsenal,defender
Chuba Akpom,21,€1.00m,Brighton,"End of loanMay 31, 2017",2016,Arsenal,forward
Petr Cech,33,€12.00m,Chelsea,€14.00m,2015,Arsenal,goalkeeper
Mohamed Elneny,23,€4.00m,FC Basel,€12.50m,2015,Arsenal,midfielder
Matt Macey,20,-,Arsenal U21,-,2015,Arsenal,goalkeeper
Chuba Akpom,19,€1.00m,Arsenal U21,-,2015,Arsenal,forward
Alex Iwobi,19,-,Arsenal U21,-,2015,Arsenal,midfielder
Ryo Miyaichi,22,€1.50m,Twente FC,"End of loanJun 30, 2015",2015,Arsenal,forward
Yaya Sanogo,23,€1.50m,Charlton,"End of loanMay 31, 2016",2015,Arsenal,forward
Lukas Podolski,30,€7.50m,Inter,"End of loanJun 30, 2015",2015,Arsenal,forward
Wellington Silva,23,€2.00m,Bolton,"End of loanMay 31, 2016",2015,Arsenal,forward
Serge Gnabry,20,€3.50m,West Brom,"End of loanFeb 1, 2016",2015,Arsenal,forward
Carl Jenkinson,23,€8.00m,West Ham,"End of loanJan 31, 2016",2015,Arsenal,defender
Yaya Sanogo,23,€1.50m,Ajax,"End of loanJan 31, 2016",2015,Arsenal,forward
Joel Campbell,23,€6.00m,Villarreal,"End of loanJun 30, 2015",2015,Arsenal,forward
Emiliano Martínez,23,€1.50m,Wolves,"End of loanMay 31, 2016",2015,Arsenal,goalkeeper
Chuba Akpom,20,€1.00m,Hull City,"End of loanMay 31, 2016",2015,Arsenal,forward
Alexis Sánchez,25,€30.00m,Barcelona,€42.50m,2014,Arsenal,forward
Calum Chambers,19,€2.00m,Southampton,€20.23m,2014,Arsenal,defender
