Year,Rank,Club,Total Passes
2023/2024,6.0,Arsenal,"21,052"
2022/2023,5.0,Arsenal,"20,450"
2021/2022,8.0,Arsenal,"18,290"
2020/2021,5.0,Arsenal,"20,126"
2019/2020,6.0,Arsenal,"18,649"
2018/2019,5.0,Arsenal,"20,805"
2017/2018,2.0,Arsenal,"23,524"
2016/2017,3.0,Arsenal,"21,392"
2015/2016,1.0,Arsenal,"21,249"
2014/2015,3.0,Arsenal,"20,527"
2013/2014,1.0,Arsenal,"21,874"
2012/2013,1.0,Arsenal,"21,381"
2011/2012,3.0,Arsenal,"20,613"
2010/2011,1.0,Arsenal,"20,150"
2009/2010,2.0,Arsenal,"19,301"
2008/2009,4.0,Arsenal,"19,008"
2007/2008,1.0,Arsenal,"18,831"
2006/2007,2.0,Arsenal,"18,467"
2023/2024,10.0,Aston Villa,"17,876"
2022/2023,12.0,Aston Villa,"15,940"
2021/2022,14.0,Aston Villa,"14,886"
2020/2021,14.0,Aston Villa,"15,189"
2019/2020,18.0,Aston Villa,"13,835"
2015/2016,12.0,Aston Villa,"15,308"
2014/2015,10.0,Aston Villa,"16,527"
2013/2014,18.0,Aston Villa,"13,870"
2012/2013,14.0,Aston Villa,"14,272"
2011/2012,18.0,Aston Villa,"13,158"
2010/2011,11.0,Aston Villa,"14,611"
2009/2010,14.0,Aston Villa,"13,136"
2008/2009,16.0,Aston Villa,"12,419"
2007/2008,18.0,Aston Villa,"11,438"
2006/2007,8.0,Aston Villa,"13,254"
2010/2011,16.0,Birmingham,"14,036"
2009/2010,12.0,Birmingham,"13,550"
2007/2008,19.0,Birmingham,"10,630"
2011/2012,19.0,Blackburn,"12,424"
2010/2011,19.0,Blackburn,"11,178"
2009/2010,17.0,Blackburn,"11,798"
2008/2009,14.0,Blackburn,"13,482"
2007/2008,9.0,Blackburn,"13,654"
2006/2007,7.0,Blackburn,"14,033"
2010/2011,9.0,Blackpool,"15,113"
2011/2012,16.0,Bolton,"13,580"
2010/2011,18.0,Bolton,"12,704"
2009/2010,19.0,Bolton,"11,430"
2008/2009,19.0,Bolton,"10,680"
2007/2008,15.0,Bolton,"11,854"
2006/2007,14.0,Bolton,"12,422"
2023/2024,16.0,Bournemouth,"14,204"
2022/2023,18.0,Bournemouth,"13,931"
2019/2020,15.0,Bournemouth,"14,694"
2018/2019,12.0,Bournemouth,"15,943"
2017/2018,8.0,Bournemouth,"16,131"
2016/2017,9.0,Bournemouth,"17,145"
2015/2016,9.0,Bournemouth,"17,270"
2023/2024,14.0,Brentford,"15,223"
2022/2023,19.0,Brentford,"13,920"
2021/2022,15.0,Brentford,"14,604"
2023/2024,2.0,Brighton,"23,547"
2022/2023,3.0,Brighton,"21,280"
2021/2022,6.0,Brighton,"18,835"
2020/2021,9.0,Brighton,"18,185"
2019/2020,8.0,Brighton,"18,188"
2018/2019,17.0,Brighton,"14,109"
2017/2018,14.0,Brighton,"14,675"
2023/2024,12.0,Burnley,"16,447"
2021/2022,20.0,Burnley,"12,319"
2020/2021,18.0,Burnley,"13,846"
2019/2020,20.0,Burnley,"12,814"
2018/2019,19.0,Burnley,"13,011"
2017/2018,18.0,Burnley,"13,572"
2016/2017,18.0,Burnley,"12,559"
2014/2015,17.0,Burnley,"13,632"
2009/2010,11.0,Burnley,"13,832"
2018/2019,20.0,Cardiff City,"10,226"
2013/2014,17.0,Cardiff City,"14,033"
2006/2007,12.0,Charlton,"12,722"
2023/2024,5.0,Chelsea,"21,926"
2022/2023,4.0,Chelsea,"21,149"
2021/2022,3.0,Chelsea,"23,179"
2020/2021,3.0,Chelsea,"24,070"
2019/2020,3.0,Chelsea,"23,245"
2018/2019,2.0,Chelsea,"25,070"
2017/2018,5.0,Chelsea,"21,264"
2016/2017,6.0,Chelsea,"20,125"
2015/2016,5.0,Chelsea,"19,664"
2014/2015,4.0,Chelsea,"20,268"
2013/2014,8.0,Chelsea,"18,281"
2012/2013,6.0,Chelsea,"18,452"
2011/2012,7.0,Chelsea,"18,766"
2010/2011,2.0,Chelsea,"19,236"
2009/2010,3.0,Chelsea,"18,869"
2008/2009,1.0,Chelsea,"19,940"
2007/2008,3.0,Chelsea,"17,252"
2006/2007,4.0,Chelsea,"16,769"
2023/2024,13.0,Crystal Palace,"15,252"
2022/2023,13.0,Crystal Palace,"15,707"
2021/2022,10.0,Crystal Palace,"17,309"
2020/2021,17.0,Crystal Palace,"14,067"
2019/2020,16.0,Crystal Palace,"14,688"
2018/2019,15.0,Crystal Palace,"15,243"
2017/2018,15.0,Crystal Palace,"14,372"
2016/2017,17.0,Crystal Palace,"13,543"
2015/2016,17.0,Crystal Palace,"13,785"
2014/2015,20.0,Crystal Palace,"12,071"
2013/2014,20.0,Crystal Palace,"11,826"
2007/2008,16.0,Derby,"11,753"
2023/2024,18.0,Everton,"13,764"
2022/2023,17.0,Everton,"14,152"
2021/2022,18.0,Everton,"12,944"
2020/2021,13.0,Everton,"17,132"
2019/2020,11.0,Everton,"15,826"
2018/2019,10.0,Everton,"16,494"
2017/2018,13.0,Everton,"14,749"
2016/2017,8.0,Everton,"17,584"
2015/2016,8.0,Everton,"17,947"
