Club Name,Expenditure,Arrivals,Income,Departures,Balance,Year
AFC Bournemouth,€39.90m,4,-,4,€-39.90m,2024
AFC Bournemouth,€167.19m,28,€1.50m,25,€-165.69m,2023
AFC Bournemouth,€210.39m,41,€1.50m,34,€-208.89m,2022
AFC Bournemouth,€95.74m,38,€26.90m,31,€-68.84m,2021
AFC Bournemouth,€55.61m,28,€128.18m,33,€72.56m,2019
AFC Bournemouth,€146.51m,27,€54.83m,28,€-91.69m,2018
AFC Bournemouth,€125.90m,29,€20.20m,30,€-105.70m,2017
AFC Bournemouth,€74.99m,34,€23.69m,44,€-51.30m,2016
AFC Bournemouth,€95.80m,55,€24.34m,63,€-71.46m,2015
AFC Bournemouth,€59.93m,64,€4.35m,60,€-55.58m,2014
Arsenal FC,€234.94m,18,€69.20m,19,€-165.74m,2023
Arsenal FC,€421.34m,40,€93.00m,34,€-328.34m,2022
Arsenal FC,€353.80m,38,€55.20m,38,€-298.60m,2021
Arsenal FC,€253.40m,29,€50.55m,36,€-202.85m,2020
Arsenal FC,€246.80m,32,€72.80m,35,€-174.00m,2019
Arsenal FC,€240.95m,33,€62.75m,31,€-178.20m,2018
Arsenal FC,€233.00m,27,€171.50m,28,€-61.50m,2017
Arsenal FC,€265.85m,21,€172.75m,28,€-93.10m,2016
Arsenal FC,€139.50m,26,€12.85m,24,€-126.65m,2015
Arsenal FC,€145.48m,33,€30.30m,34,€-115.18m,2014
Arsenal FC,€168.23m,39,€39.95m,44,€-128.28m,2013
Arsenal FC,€105.25m,37,€78.00m,40,€-27.25m,2012
Arsenal FC,€121.48m,49,€144.14m,44,€22.67m,2011
Arsenal FC,€88.48m,51,€86.39m,48,€-2.09m,2010
Arsenal FC,€35.00m,31,€55.80m,35,€20.80m,2009
Arsenal FC,€52.15m,28,€73.50m,24,€21.35m,2008
Arsenal FC,€71.10m,32,€82.53m,29,€11.43m,2007
Arsenal FC,€45.95m,32,€69.65m,36,€23.70m,2006
Arsenal FC,€61.00m,32,€37.93m,36,€-23.08m,2005
Arsenal FC,€58.48m,39,€28.90m,37,€-29.58m,2004
Arsenal FC,€39.90m,40,€4.95m,41,€-34.95m,2003
Arsenal FC,€40.25m,32,€9.27m,41,€-30.98m,2002
Arsenal FC,€45.51m,35,€20.22m,34,€-25.29m,2001
Arsenal FC,€88.99m,44,€61.53m,35,€-27.46m,2000
Arsenal FC,€81.70m,40,€91.08m,40,€9.38m,1999
Arsenal FC,€41.35m,32,€42.30m,31,€950k,1998
Arsenal FC,€37.98m,31,€9.17m,24,€-28.81m,1997
Arsenal FC,€28.14m,24,€16.57m,27,€-11.57m,1996
Arsenal FC,€24.46m,15,€10.35m,20,€-14.12m,1995
Arsenal FC,€25.53m,19,€6.90m,13,€-18.63m,1994
Arsenal FC,€8.46m,17,€6.98m,16,€-1.48m,1993
Arsenal FC U18,€3.55m,7,€5k,22,€-3.55m,2003
Arsenal FC U18,€3.20m,6,-,14,€-3.20m,2002
Aston Villa,€111.50m,20,€36.55m,18,€-74.95m,2023
Aston Villa,€211.64m,39,€86.55m,37,€-125.09m,2022
Aston Villa,€229.94m,45,€181.00m,40,€-48.94m,2021
Aston Villa,€231.15m,34,€129.77m,33,€-101.38m,2020
Aston Villa,€260.85m,34,€5.77m,37,€-255.08m,2019
Aston Villa,€178.60m,47,€19.15m,48,€-159.45m,2018
Aston Villa,€88.30m,40,€63.63m,43,€-24.67m,2016
Aston Villa,€152.05m,51,€110.50m,57,€-41.55m,2015
Aston Villa,€80.00m,58,€66.02m,64,€-13.99m,2014
Aston Villa,€33.29m,63,€9.42m,61,€-23.88m,2013
Aston Villa,€47.67m,52,€11.30m,41,€-36.37m,2012
Aston Villa,€48.17m,38,€46.95m,37,€-1.22m,2011
Aston Villa,€57.74m,40,€72.15m,45,€14.41m,2010
Aston Villa,€84.30m,41,€50.50m,36,€-33.80m,2009
Aston Villa,€102.80m,40,€29.62m,31,€-73.18m,2008
Aston Villa,€80.80m,30,€25.42m,31,€-55.38m,2007
Aston Villa,€49.60m,29,€22.23m,32,€-27.38m,2006
Aston Villa,€41.24m,34,€10.73m,31,€-30.52m,2005
Aston Villa,€26.68m,30,€9.83m,32,€-16.86m,2004
Aston Villa,€18.52m,33,€3.72m,46,€-14.80m,2003
Aston Villa,€17.45m,42,€7.19m,45,€-10.26m,2002
Aston Villa,€35.18m,38,€23.78m,32,€-11.40m,2001
Aston Villa,€47.22m,31,€37.69m,29,€-9.53m,2000
Aston Villa,€30.72m,28,€26.89m,31,€-3.84m,1999
Aston Villa,€52.40m,31,€32.05m,29,€-20.35m,1998
Aston Villa,€54.60m,25,€29.33m,17,€-25.27m,1997
Aston Villa,€19.90m,13,€7.74m,13,€-12.16m,1996
Aston Villa,€19.16m,18,€9.29m,20,€-9.88m,1995
Aston Villa,€19.85m,21,€14.20m,27,€-5.65m,1994
Aston Villa,€13.04m,20,€10.45m,26,€-2.59m,1993
Aston Villa U21,€2.76m,4,-,0,€-2.76m,2024
Barnsley FC,€9.56m,24,€8.85m,20,€-710k,1997
Birmingham City,€26.17m,54,€34.96m,55,€8.79m,2010
Birmingham City,€45.65m,50,€575k,48,€-45.08m,2009
Birmingham City,€23.55m,59,€11.28m,59,€-12.28m,2008
Birmingham City,€32.80m,63,€19.35m,60,€-13.45m,2007
Birmingham City,€49.73m,53,€40.95m,60,€-8.78m,2006
Birmingham City,€32.53m,54,€40.43m,59,€7.90m,2005
Birmingham City,€27.87m,59,€16.10m,48,€-11.77m,2004
Birmingham City,€32.87m,44,€10.10m,48,€-22.77m,2003
Birmingham City,€32.78m,38,€3.10m,46,€-29.68m,2002
Birmingham City,€17.58m,46,€1.15m,39,€-16.43m,2001
Birmingham City,€10.73m,24,€2.55m,24,€-8.18m,1997
Birmingham City,€16.19m,50,€7.51m,53,€-8.67m,1996
Birmingham City,€11.71m,64,€10.37m,63,€-1.34m,1995
Birmingham City,€6.40m,49,€5.43m,47,€-967k,1994
Birmingham City,€5.54m,39,€1.64m,40,€-3.90m,1993
Blackburn Rovers,€19.65m,92,€16.83m,87,€-2.83m,2012
Blackburn Rovers,€37.93m,69,€51.70m,69,€13.77m,2011
Blackburn Rovers,€25.60m,55,€40.58m,57,€14.98m,2010
Blackburn Rovers,€18.33m,68,€36.93m,64,€18.60m,2009
Blackburn Rovers,€24.96m,64,€63.15m,61,€38.19m,2008
Blackburn Rovers,€17.88m,44,€30.48m,44,€12.60m,2007
Blackburn Rovers,€24.18m,46,€20.89m,42,€-3.29m,2006
Blackburn Rovers,€27.38m,50,€19.61m,49,€-7.77m,2005
Blackburn Rovers,€17.28m,44,€10.40m,46,€-6.88m,2004
Blackburn Rovers,€30.22m,44,€42.55m,51,€12.34m,2003
Blackburn Rovers,€29.59m,44,€36.65m,46,€7.06m,2002
Blackburn Rovers,€40.26m,42,€12.48m,41,€-27.79m,2001
Blackburn Rovers,€47.74m,48,€24.55m,54,€-23.19m,2000
Blackburn Rovers,€22.20m,49,€42.89m,55,€20.69m,1999
Blackburn Rovers,€63.86m,48,€45.07m,44,€-18.79m,1998
Blackburn Rovers,€66.51m,48,€46.47m,39,€-20.04m,1997
Blackburn Rovers,€10.13m,27,€49.35m,26,€39.22m,1996
Blackburn Rovers,€16.50m,19,€24.67m,15,€8.17m,1995
Blackburn Rovers,€26.25m,23,€10.01m,19,€-16.24m,1994
Blackburn Rovers,€22.03m,16,€5.00m,17,€-17.03m,1993
Blackburn Rovers U21,€118k,1,-,7,€-118k,2024
Bolton Wanderers,€19.09m,53,€16.33m,54,€-2.76m,2011
Bolton Wanderers,€21.00m,41,€17.73m,40,€-3.27m,2010
Bolton Wanderers,€17.40m,42,€3.40m,34,€-14.00m,2009
Bolton Wanderers,€35.70m,39,€12.88m,31,€-22.83m,2008
