"Id","ActivityDate","TotalSteps","SedentaryMinutes","Calories","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","TimeInBedAwake"
1503960366,2016-04-12,224,32,50,1,327,346,19
1927972279,2016-04-12,24,161,942,3,750,775,25
2026352035,2016-04-12,1019,223,600,1,503,546,43
3977333714,2016-04-12,759,187,182,1,274,469,195
4020332650,2016-04-12,8,321,446,1,501,541,40
4445114986,2016-04-12,278,253,745,2,429,457,28
4702921684,2016-04-12,0,1440,0,1,425,439,14
5553957443,2016-04-12,3436,61,633,1,441,464,23
6962181067,2016-04-12,5893,146,917,1,366,387,21
7086361926,2016-04-12,430,75,625,1,514,525,11
8378563200,2016-04-12,3246,243,1882,1,338,356,18
8792009665,2016-04-12,20,598,728,1,458,493,35
1503960366,2016-04-13,10735,776,1797,2,384,407,23
1503960366,2016-04-15,9762,726,1745,1,412,442,30
1503960366,2016-04-16,12669,773,1863,2,340,367,27
1503960366,2016-04-17,9705,539,1728,1,700,712,12
1503960366,2016-04-19,15506,775,2035,1,304,320,16
1503960366,2016-04-20,10544,818,1786,1,360,377,17
1503960366,2016-04-21,9819,838,1775,1,325,364,39
1503960366,2016-04-23,14371,732,1949,1,361,384,23
1503960366,2016-04-24,10039,709,1788,1,430,449,19
1503960366,2016-04-25,15355,814,2013,1,277,323,46
1503960366,2016-04-26,13755,833,1970,1,245,274,29
1503960366,2016-04-28,13154,782,1898,1,366,393,27
1503960366,2016-04-29,11181,815,1837,1,341,354,13
1503960366,2016-04-30,14673,712,1947,1,404,425,21
1503960366,2016-05-01,10602,730,1820,1,369,396,27
1503960366,2016-05-02,14727,798,2004,1,277,309,32
1503960366,2016-05-03,15103,816,1990,1,273,296,23
1503960366,2016-05-05,14070,857,1959,1,247,264,17
1503960366,2016-05-06,12159,754,1896,1,334,367,33
1503960366,2016-05-07,11992,833,1821,1,331,349,18
1503960366,2016-05-08,10060,574,1740,1,594,611,17
1503960366,2016-05-09,12022,835,1819,1,338,342,4
1503960366,2016-05-10,12207,746,1859,1,383,403,20
1503960366,2016-05-11,12770,669,1783,1,285,306,21
1644430081,2016-04-29,3176,1193,2498,1,119,127,8
1644430081,2016-04-30,18213,816,3846,1,124,142,18
1644430081,2016-05-02,3758,682,2580,1,796,961,165
1644430081,2016-05-08,6724,991,2987,1,137,154,17
1844505072,2016-04-15,3844,527,1725,1,644,961,317
1844505072,2016-04-30,4014,218,1763,1,722,961,239
1844505072,2016-05-01,2573,585,1541,1,590,961,371
1927972279,2016-04-13,356,986,2151,1,398,422,24
1927972279,2016-04-15,980,941,2221,2,475,499,24
1927972279,2016-04-26,3761,1058,2638,1,296,315,19
